Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
20096,"herzberg, g.",1971,identification of free radicals in flash photolysis,1964.0,1988881181.0,10.1038/204988a0,nature,,NO,Chemistry,0.5436241610738255,male,7.0
20096,"herzberg, g.",1971,the dissociation energy of oxygen,1953.0,2018447646.0,10.1063/1.1698843,journal of chemical physics,rensselaer polytechnic institute,NO,Chemistry,0.5436241610738255,male,44.0
20096,"herzberg, g.",1971,predissociation and dissociation of the n2 molecule,1951.0,2074232097.0,10.1139/p51-034,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,41.0
20096,"herzberg, g.",1971,on the possibility of detecting molecular hydrogen and nitrogen in planetary and stellar atmospheres by their rotation vibration spectra,1938.0,2019955500.0,10.1086/143935,the astrophysical journal,,NO,Chemistry,0.5436241610738255,male,42.0
20096,"herzberg, g.",1971,forbidden transitions in diatomic molecules i the quadrupole rotation vibration spectrum of h2,1950.0,2051272495.0,10.1139/cjr50a-013,canadian journal of research,,NO,Chemistry,0.5436241610738255,male,42.0
20096,"herzberg, g.",1971,forbidden transitions in diatomic molecules iii new and absorption bands of the oxygen molecule,1952.0,2144068401.0,10.1139/p52-019,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,129.0
20096,"herzberg, g.",1971,spectra of the ammonium radical the schuler bands,1984.0,2023306545.0,10.1007/BF02714985,journal of astrophysics and astronomy,herzberg institute of astrophysics,NO,Chemistry,0.5436241610738255,male,31.0
20096,"herzberg, g.",1971,dissociation energy and ionization potential of molecular hydrogen,1969.0,1981681467.0,10.1103/PhysRevLett.23.1081,physical review letters,,NO,Chemistry,0.5436241610738255,male,101.0
20096,"herzberg, g.",1971,das stickstoffisotop der masse 15,1930.0,2581845336.0,10.1515/zpch-1930-0104,zeitschrift fur physikalische chemie,,NO,Chemistry,0.5436241610738255,male,0.0
20096,"herzberg, g.",1971,uber die struktur und den monomolekularen zerfall der molekule n2o und co2,1932.0,2611622715.0,10.1515/zpch-1932-1705,zeitschrift fur physikalische chemie,,NO,Chemistry,0.5436241610738255,male,12.0
20096,"herzberg, g.",1971,zur bestimmung von dissoziationswarmen aus pradissoziationsspektren und die dissoziationswarme von o2,1930.0,2611639059.0,10.1515/zpch-1930-1016,zeitschrift fur physikalische chemie,,NO,Chemistry,0.5436241610738255,male,10.0
20096,"herzberg, g.",1971,die dissoziationsarbeit von sauerstoff,1929.0,2611833926.0,10.1515/zpch-1929-0417,zeitschrift fur physikalische chemie,,NO,Chemistry,0.5436241610738255,male,15.0
20096,"herzberg, g.",1971,ein neuartiges verbotenes absorptions bandensystem des o2 molekuls,1932.0,2015395330.0,10.1007/BF01503579,naturwissenschaften,,NO,Chemistry,0.5436241610738255,male,55.0
20096,"herzberg, g.",1971,resonanz fluorescenz des cyans,1928.0,2054998145.0,10.1007/BF01504848,naturwissenschaften,,NO,Chemistry,0.5436241610738255,male,2.0
20096,"herzberg, g.",1971,ein neues bandensystem des co,1928.0,2061150540.0,10.1007/BF01506076,naturwissenschaften,,NO,Chemistry,0.5436241610738255,male,0.0
20096,"herzberg, g.",1971,the lyman and werner bands of deuterium,1973.0,1979606861.0,10.1139/p73-119,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,65.0
20096,"herzberg, g.",1971,two new bands of co2in the photographic infrared,1935.0,49032532.0,10.1103/PhysRev.48.706,physical review,,NO,Chemistry,0.5436241610738255,male,7.0
20096,"herzberg, g.",1971,laboratory production of the  4050 group occurring in cometary spectra future evidence for the presence of ch 2 molecules in comets,1942.0,1981713749.0,10.1086/144464,the astrophysical journal,,NO,Chemistry,0.5436241610738255,male,76.0
20096,"herzberg, g.",1971,fine structure of the infrared atmospheric oxygen bands,1947.0,2001901912.0,10.1086/144910,the astrophysical journal,,NO,Chemistry,0.5436241610738255,male,115.0
20096,"herzberg, g.",1971,reactions in the gas phase the absorption spectrum of free nh2 radicals,1953.0,1999877477.0,10.1039/DF9531400011,discussions of the faraday society,,NO,Chemistry,0.5436241610738255,male,41.0
20096,"herzberg, g.",1971,spectrum and structure of the free hncn radical,1963.0,2750488423.0,10.1139/p63-034,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,36.0
20096,"herzberg, g.",1971,absorption spectrum of free hco radicals,1952.0,2144881521.0,10.1063/1.1699097,journal of chemical physics,,NO,Chemistry,0.5436241610738255,male,47.0
20096,"herzberg, g.",1971,a new spectrum associated with diatomic carbon,1968.0,2067329916.0,10.1139/p68-596,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,151.0
20096,"herzberg, g.",1971,analysis of a new band system of thec2molecule,1937.0,2000945036.0,10.1103/PhysRev.52.638,physical review,,NO,Chemistry,0.5436241610738255,male,36.0
20096,"herzberg, g.",1971,erratum the electronic emission spectrum of triatomic hydrogen i parallel bands of h and d near 5600 and 6025 a,1980.0,1984845715.0,10.1139/p80-163,canadian journal of physics,,NO,Chemistry,0.5436241610738255,male,124.0
20096,"herzberg, g.",1971,zur deutung der diffusen molekulspektren pradissoziation,1930.0,1971488672.0,10.1007/BF01341168,european physical journal,,NO,Chemistry,0.5436241610738255,male,17.0
20096,"herzberg, g.",1971,spektroskopisches uber das nachleuchten von stickstoff,1928.0,2007494323.0,10.1007/BF01333635,european physical journal,,NO,Chemistry,0.5436241610738255,male,34.0
20096,"herzberg, g.",1971,uber die intensitatsverteilung in bandenspektren insbesondere in den stickstoffbanden,1928.0,2010707558.0,10.1007/BF01328629,european physical journal,,NO,Chemistry,0.5436241610738255,male,9.0
20096,"herzberg, g.",1971,zum aufbau der zweiatomigen molekule,1929.0,2018099417.0,10.1007/BF01343078,european physical journal,,NO,Chemistry,0.5436241610738255,male,62.0
20096,"herzberg, g.",1971,uber die bandenspektren von co,1929.0,2141486970.0,10.1007/BF01366451,european physical journal,,NO,Chemistry,0.5436241610738255,male,25.0
20096,"herzberg, g.",1971,uber das nachleuchten von stickstoff und sauerstoff und den einflus der wande hierauf,1928.0,2070805509.0,10.1007/BF01391023,european physical journal,,NO,Chemistry,0.5436241610738255,male,19.0
20096,"herzberg, g.",1971,spectroscopic studies of molecular structure,1972.0,2060057507.0,10.1126/science.177.4044.123,science,,NO,Chemistry,0.5436241610738255,male,12.0
